,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
132,Crystal Palace,Burnley,2,0,0.8912060038109129,1.1889406272002008,1.4996319828691704,1.4675923594965832,6.517309171984893,3.1396363990475433,7.893274002845842,7.036375613646074,13.39682263172034,12.790360793682058,7.819237409938465,9.045402467612064
133,West Ham,Chelsea,1,0,1.2120109369213936,1.9644126644948816,1.9190465165558557,1.0622708058606203,6.239575322469076,9.444845497246945,8.014567203232737,4.362008539835612,12.94527315997114,8.867281954697887,10.373157620189167,14.395181787856902
134,Bournemouth,Tottenham,2,3,1.0311533836856186,1.474822533439379,1.77632715710061,1.3900677178877765,5.534755694264113,6.738335247232458,8.73957920989605,7.789727738409331,14.046110258198748,11.3094668426899,9.266540201264199,10.328545818906841
135,Watford,Southampton,1,2,1.334633728458971,1.4552315280895087,1.645512797254856,1.3681490138930776,6.376705177384194,5.509151195757317,6.951942216507112,6.4686508809677274,13.518925691373418,8.067652829488118,10.325728148161762,11.332871565192637
136,Arsenal,Norwich,2,2,1.4056167566843825,1.0817519401753282,1.4963769114339143,1.8099025839348004,7.638378348976675,5.882690733129328,6.635711473888821,8.308028726866752,11.90161644039732,13.064426906662758,11.811046418758353,9.1691253093758
137,Sheffield United,Wolves,1,1,1.2446362455558688,1.5525680316180188,1.3009929656808388,1.1541692802367365,5.538942570638175,4.960297762263904,6.630876479004368,5.52781174784959,14.375219230940848,13.07861040047925,13.300981747020376,10.575856811350043
138,Aston Villa,Man Utd,2,2,1.1945100800758777,1.67406152256066,2.203943305585427,1.0400545479946643,5.17513494732404,7.231063769562075,10.427660928109681,5.77436080123439,12.501673538516268,9.890300312909213,7.844790241935035,11.760593144098918
139,Everton,Leicester,1,2,1.6109923762933152,1.7558259543917947,1.3458096112265405,1.3442246038181693,5.687428509105336,8.364666138754952,5.586380149860576,6.03378285542883,9.595561198995572,8.900460908870505,11.028954099886345,13.23669481325631
140,Bournemouth,Crystal Palace,0,1,1.080441330466941,0.9719433882797239,1.7907057279813556,1.4458274835280485,5.43726509063857,6.535874203831629,8.788056932592355,7.781994233505618,14.275106017498796,13.496944838192634,9.179365578138654,7.787728278786986
141,Man City,Burnley,4,1,2.628458892612258,1.21498375692327,1.0004329971190957,1.485668730285176,14.486669880335457,3.0573426913918684,3.459951401016188,6.919591936198147,8.35451733400957,12.683039224694287,24.195534599762883,9.082117757319292
