,round,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_ppg,B_ppg,A_gpg,B_gpg,A_cpg,B_cpg,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
91,10,Aston Villa,Man City,0,3,1.2125588410208565,2.702963582240513,2.0371820143432617,0.9929527324262346,1.2222222222222223,2.111111111111111,1.6666666666666667,3.2222222222222223,1.4444444444444444,1.0,5.089159284319196,15.844312395368304,11.681549072265625,3.790361676897321,11.956368582589285,8.093776157924108,7.88983154296875,23.620853969029017
92,10,Everton,Brighton,2,3,1.3362182975202288,1.3040349502476283,1.3271360366385325,1.7537105375889368,1.1111111111111112,1.0,0.8888888888888888,1.0,1.4444444444444444,1.3333333333333333,6.894688197544642,7.035221644810267,5.385920933314733,7.56976318359375,9.266287667410715,9.405683244977677,10.17032732282366,15.592324393136161
93,10,Sheffield United,West Ham,1,1,1.2643122802995954,1.2512937052350726,1.2698044289855956,1.8598411529715402,1.3333333333333333,1.3333333333333333,0.8888888888888888,1.2222222222222223,0.7777777777777778,1.4444444444444444,5.799634660993304,7.9122837611607135,5.738329206194196,6.829951695033482,12.71762956891741,9.57989937918527,13.053135463169642,11.368560791015625
94,10,Bournemouth,Watford,0,0,1.0552652341657367,1.1678401885114398,1.650811946097238,1.7785529532732283,1.3333333333333333,0.4444444444444444,1.4444444444444444,0.5555555555555556,1.4444444444444444,2.3333333333333335,5.10211181640625,6.422572544642858,8.144544328962054,6.785609654017858,12.968723842075892,13.852203369140625,9.727534702845983,10.32552228655134
95,10,Chelsea,Burnley,4,2,2.025302527823312,1.3793132477242607,1.168306192879813,1.2834602674211775,1.8888888888888888,1.3333333333333333,2.111111111111111,1.3333333333333333,1.5555555555555556,1.2222222222222223,8.52557373046875,3.4143676757812504,5.226388113839286,6.462084089006696,9.942195347377233,12.285103934151786,13.928998674665179,8.692108154296875
96,10,Wolves,Newcastle United,1,1,1.5702542747017998,0.9112147148437502,1.1068623348999025,1.698396325919015,1.2222222222222223,0.8888888888888888,1.3333333333333333,0.5555555555555556,1.3333333333333333,1.5555555555555556,5.612204415457589,3.308720179966518,5.461495535714286,9.948399135044642,12.204829624720983,25.677599225725444,12.003082275390625,6.569719587053571
97,10,Man Utd,Norwich,3,1,1.9011472872227257,1.0010675788225445,1.0864444677603586,2.038838295523507,1.1111111111111112,0.7777777777777778,1.1111111111111112,1.1111111111111112,1.0,2.3333333333333335,6.753941127232142,6.049656459263392,5.1759033203125,8.666878836495535,10.016911097935267,11.692269461495536,9.203626360212054,9.05218505859375
98,10,Tottenham,Liverpool,1,2,1.3638549218837195,2.109894265485491,1.253345415021624,0.8942432362357003,1.3333333333333333,2.7777777777777777,1.6666666666666667,2.3333333333333335,1.4444444444444444,0.7777777777777778,5.537928989955358,11.093497140066965,7.044673374720982,4.284558977399554,11.764029366629465,8.809095110212054,10.597516741071429,21.339163643973215
99,10,Crystal Palace,Arsenal,2,2,0.9082227508501326,1.352548050641741,1.5468957146432059,1.5639893973127093,1.5555555555555556,1.6666666666666667,0.8888888888888888,1.4444444444444444,1.1111111111111112,1.3333333333333333,6.056644984654017,7.453678676060267,8.016880580357142,6.597747802734375,15.192252022879465,12.510593959263392,8.098645891462054,12.175968715122767
100,11,Man Utd,Bournemouth,0,1,1.7727213268214634,1.0608521656009735,1.0563332195514499,1.6595722268696136,1.3,1.3,1.3,1.3,1.0,1.3,6.878722175719245,5.429772271050346,4.94390869140625,8.747625199575273,9.682638259161086,13.970461406405011,11.192313784644718,9.353782774910094
